iso,date,win1,win1_pric,win2,win2_pric,win3,win3_pric,win4,win4_pric,win5,win5_pric,c1,c2,c3,c4,c5,c6,cb
1009,2022.04.02,15,"1,702,462,825원",69,"61,683,436원",2632,"1,617,081원",133476,"50,000원",2232525,"5,000원",15,23,29,34,40,44,20
1008,2022.03.26,11,"2,267,377,910원",97,"42,854,222원",2826,"1,470,935원",141072,"50,000원",2311009,"5,000원",9,11,30,31,41,44,33
1007,2022.03.19,9,"2,718,786,375원",70,"58,259,709원",2844,"1,433,960원",137134,"50,000원",2256573,"5,000원",8,11,16,19,21,25,40
1006,2022.03.12,9,"2,855,602,125원",65,"65,898,511원",2487,"1,722,318원",131234,"50,000원",2288458,"5,000원",8,11,15,16,17,37,36
1005,2022.03.05,12,"2,061,199,344원",84,"49,076,175원",2798,"1,473,338원",143067,"50,000원",2349017,"5,000원",8,13,18,24,27,29,17
1004,2022.02.26,10,"2,576,251,913원",68,"63,143,430원",2785,"1,541,743원",140047,"50,000원",2340772,"5,000원",7,15,30,37,39,44,18
1003,2022.02.19,14,"1,811,116,822원",66,"64,029,383원",2649,"1,595,297원",133896,"50,000원",2247475,"5,000원",1,4,29,39,43,45,31
1002,2022.02.12,8,"3,088,449,563원",85,"48,446,268원",3193,"1,289,676원",155418,"50,000원",2436676,"5,000원",17,25,33,35,38,45,15
1001,2022.02.05,12,"2,077,279,594원",66,"62,947,867원",2761,"1,504,730원",140255,"50,000원",2346904,"5,000원",6,10,12,14,20,42,15
1000,2022.01.29,22,"1,246,819,620원",109,"41,941,945원",4018,"1,137,798원",180052,"50,000원",2747686,"5,000원",2,8,19,22,32,42,39
999,2022.01.22,16,"1,513,274,790원",67,"60,229,843원",2943,"1,371,186원",143217,"50,000원",2369326,"5,000원",1,3,9,14,18,28,34
998,2022.01.15,12,"2,076,499,657원",53,"78,358,478원",2648,"1,568,354원",129576,"50,000원",2227628,"5,000원",13,17,18,20,42,45,41
997,2022.01.08,19,"1,253,749,560원",85,"46,708,317원",3692,"1,075,354원",155887,"50,000원",2331995,"5,000원",4,7,14,16,24,44,20
996,2022.01.01,18,"1,491,185,771원",86,"52,018,109원",3313,"1,350,305원",155856,"50,000원",2546181,"5,000원",6,11,15,24,32,39,28
995,2021.12.25,7,"3,447,271,875원",69,"58,287,206원",2793,"1,439,964원",138372,"50,000원",2269218,"5,000원",1,4,13,29,38,39,7
994,2021.12.18,12,"1,861,582,063원",70,"53,188,059원",2803,"1,328,279원",137937,"50,000원",2216661,"5,000원",1,3,8,24,27,35,28
993,2021.12.11,6,"3,991,197,063원",70,"57,017,101원",2732,"1,460,907원",132583,"50,000원",2220620,"5,000원",6,14,16,18,24,42,44
992,2021.12.04,12,"1,986,955,563원",58,"68,515,710원",2373,"1,674,636원",124311,"50,000원",2105282,"5,000원",12,20,26,33,44,45,24
991,2021.11.27,8,"2,904,166,032원",110,"35,202,013원",2969,"1,304,218원",138068,"50,000원",2226394,"5,000원",13,18,25,31,33,44,38
990,2021.11.20,14,"1,740,095,277원",56,"72,503,970원",2858,"1,420,652원",129113,"50,000원",2169219,"5,000원",2,4,25,26,36,37,28
989,2021.11.13,4,"5,826,768,563원",63,"61,658,927원",2444,"1,589,408원",127891,"50,000원",2158436,"5,000원",17,18,21,27,29,33,26
988,2021.11.06,9,"2,678,489,375원",61,"65,864,493원",2663,"1,508,725원",129322,"50,000원",2139025,"5,000원",2,13,20,30,31,41,27
987,2021.10.30,10,"2,378,711,625원",73,"54,308,485원",2968,"1,335,755원",140004,"50,000원",2283682,"5,000원",2,4,15,23,29,38,7
986,2021.10.23,10,"2,375,275,125원",70,"56,554,170원",2793,"1,417,398원",133889,"50,000원",2231167,"5,000원",7,10,16,28,41,42,40
985,2021.10.16,10,"2,434,752,975원",62,"65,450,349원",2581,"1,572,229원",126523,"50,000원",2123240,"5,000원",17,21,23,30,34,44,19
984,2021.10.09,7,"3,453,006,268원",64,"62,945,427원",2596,"1,551,814원",128129,"50,000원",2149335,"5,000원",3,10,23,35,36,37,18
983,2021.10.02,10,"2,503,422,225원",78,"53,491,928원",2640,"1,580,444원",131780,"50,000원",2196308,"5,000원",13,23,26,31,35,43,15
982,2021.09.25,8,"3,023,630,672원",81,"49,771,699원",2931,"1,375,472원",139208,"50,000원",2291933,"5,000원",5,7,13,20,21,44,33
981,2021.09.18,13,"1,992,863,193원",65,"66,428,774원",2824,"1,528,991원",136630,"50,000원",2289650,"5,000원",27,36,37,41,43,45,32
980,2021.09.11,7,"3,409,443,215원",70,"56,824,054원",2819,"1,411,027원",135751,"50,000원",2237534,"5,000원",3,13,16,23,24,35,14
979,2021.09.04,14,"1,606,400,518원",79,"47,446,429원",3414,"1,097,911원",154980,"50,000원",2403760,"5,000원",7,11,16,21,27,33,24
978,2021.08.28,10,"2,373,391,388원",70,"56,509,319원",2826,"1,399,736원",133915,"50,000원",2217326,"5,000원",1,7,15,32,34,42,8
977,2021.08.21,14,"1,669,905,911원",82,"47,517,648원",2474,"1,574,959원",125781,"50,000원",2097459,"5,000원",2,9,10,14,22,44,16
976,2021.08.14,7,"3,243,867,215원",69,"54,847,997원",3085,"1,226,747원",142375,"50,000원",2270249,"5,000원",4,12,14,25,35,37,2
975,2021.08.07,9,"2,440,410,375원",61,"60,010,092원",2828,"1,294,419원",135604,"50,000원",2212347,"5,000원",7,8,9,17,22,24,5
974,2021.07.31,17,"1,317,034,523원",66,"56,539,361원",2636,"1,415,629원",129473,"50,000원",2149319,"5,000원",1,2,11,16,39,44,32
973,2021.07.24,8,"2,912,742,750원",42,"92,468,024원",2257,"1,720,717원",117757,"50,000원",2003966,"5,000원",22,26,31,37,41,42,24
972,2021.07.17,20,"1,124,886,244원",80,"46,870,261원",2570,"1,458,997원",126989,"50,000원",2122398,"5,000원",3,6,17,23,37,39,26
971,2021.07.10,6,"3,725,880,250원",62,"60,094,843원",2685,"1,387,665원",131409,"50,000원",2171694,"5,000원",2,6,17,18,21,26,7
970,2021.07.03,14,"1,611,544,045원",87,"43,221,488원",2479,"1,516,850원",124923,"50,000원",2061176,"5,000원",9,11,16,21,28,36,5
969,2021.06.26,20,"1,149,427,894원",56,"68,418,328원",2633,"1,455,157원",133079,"50,000원",2211803,"5,000원",3,9,10,29,40,45,7
968,2021.06.19,13,"1,667,729,683원",97,"37,251,694원",3116,"1,159,633원",148150,"50,000원",2329460,"5,000원",2,5,12,14,24,39,33
967,2021.06.12,4,"5,809,776,094원",69,"56,133,103원",2475,"1,564,923원",121200,"50,000원",2042462,"5,000원",1,6,13,37,38,40,9
966,2021.06.05,10,"2,411,303,513원",50,"80,376,784원",2352,"1,708,691원",115370,"50,000원",1980202,"5,000원",1,21,25,29,34,37,36
965,2021.05.29,7,"3,403,348,929원",46,"86,316,821원",2389,"1,662,024원",122129,"50,000원",2043257,"5,000원",2,13,25,28,29,36,34
964,2021.05.22,10,"2,345,861,063원",52,"75,187,855원",2447,"1,597,781원",123780,"50,000원",2061560,"5,000원",6,21,36,38,39,43,30
963,2021.05.15,15,"1,476,478,125원",68,"54,282,285원",3137,"1,176,665원",141987,"50,000원",2219439,"5,000원",6,12,19,23,34,42,35
962,2021.05.08,12,"1,940,906,094원",73,"53,175,510원",2581,"1,503,996원",126528,"50,000원",2119457,"5,000원",1,18,28,31,34,43,40
961,2021.05.01,9,"2,575,231,209원",73,"52,915,710원",2716,"1,422,256원",133764,"50,000원",2197136,"5,000원",11,20,29,31,33,42,43
960,2021.04.24,10,"2,401,133,213원",56,"71,462,298원",2569,"1,557,762원",129546,"50,000원",2180006,"5,000원",2,18,24,30,32,45,14
959,2021.04.17,8,"3,015,312,891원",75,"53,605,563원",2502,"1,606,882원",123802,"50,000원",2072896,"5,000원",1,14,15,24,40,41,35
958,2021.04.10,15,"1,596,119,675원",67,"59,556,705원",2470,"1,615,506원",131097,"50,000원",2168146,"5,000원",2,9,10,16,35,37,1
